mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_modelo__C;param_modelo__class_weight;param_preprocessamento__cat__min_frequency;params;split0_test_precision;split1_test_precision;split2_test_precision;mean_test_precision;std_test_precision;rank_test_precision;split0_test_recall;split1_test_recall;split2_test_recall;mean_test_recall;std_test_recall;rank_test_recall;split0_test_f1;split1_test_f1;split2_test_f1;mean_test_f1;std_test_f1;rank_test_f1;split0_test_roc_auc;split1_test_roc_auc;split2_test_roc_auc;mean_test_roc_auc;std_test_roc_auc;rank_test_roc_auc;split0_test_pr_auc;split1_test_pr_auc;split2_test_pr_auc;mean_test_pr_auc;std_test_pr_auc;rank_test_pr_auc
0.2662359873453776;0.03964933873440394;0.075042724609375;0.003264466381450617;0.1;;10;{'modelo__C': 0.1, 'modelo__class_weight': None, 'preprocessamento__cat__min_frequency': 10};0.58875;0.5949044585987261;0.5921421889616464;0.5919322158534576;0.0025169302321783812;2;0.47963340122199594;0.5507075471698113;0.5192780968006563;0.5165396817308211;0.029080437220164172;17;0.5286195286195287;0.5719534598897734;0.5533216783216783;0.5512982222769934;0.017748768607186115;16;0.6703978953455489;0.6596081348289691;0.6468813573527508;0.6589624625090896;0.009611436221161191;2;0.5787771302610083;0.5983214472454743;0.6071023754964351;0.5947336510009725;0.011838752491452597;1
0.27976544698079425;0.07639646747424635;0.08270621299743652;0.010295899082201812;0.1;;5;{'modelo__C': 0.1, 'modelo__class_weight': None, 'preprocessamento__cat__min_frequency': 5};0.5896464646464646;0.5933503836317136;0.5938375350140056;0.5922781277640613;0.0018714641666720117;1;0.4755600814663951;0.5471698113207547;0.5217391304347826;0.514823007740644;0.0296407705398479;18;0.5264937993235626;0.5693251533742332;0.5554585152838428;0.5504258226605462;0.01784427487522563;17;0.6706699530710353;0.657917228762035;0.6460400597353055;0.6582090805227919;0.010057229390511376;5;0.5795804628918311;0.5984445667846212;0.605417191940855;0.5944807405391024;0.010913846888751511;2
0.21685481071472168;0.047062288175467926;0.07532914479573567;0.002455493308800424;0.1;balanced;10;{'modelo__C': 0.1, 'modelo__class_weight': 'balanced', 'preprocessamento__cat__min_frequency': 10};0.5707410972088547;0.5654345654345654;0.5798258345428157;0.5720004990620785;0.0059423186500135085;9;0.6038696537678208;0.6674528301886793;0.6554552912223134;0.6422592583929378;0.027583890742810663;1;0.58683819891143;0.6122228231476474;0.6153253754331921;0.6047954658307565;0.012760721872999946;1;0.6700746033914676;0.6594510561232976;0.646954375636529;0.6588266783837647;0.009449113486857782;3;0.5784814656364496;0.5979652022621254;0.6068737461224694;0.5944401380070148;0.011856080192632462;3
0.15589205423990884;0.017944532449006966;0.07712197303771973;0.008543143504663772;0.1;;;{'modelo__C': 0.1, 'modelo__class_weight': None, 'preprocessamento__cat__min_frequency': None};0.5856079404466501;0.5944233206590621;0.5933147632311978;0.5911153414456366;0.0039205292342953755;3;0.48065173116089616;0.5530660377358491;0.5242001640689089;0.519305977655218;0.02976488697186428;16;0.5279642058165548;0.5729993891264509;0.5566202090592335;0.5525279346674131;0.01861185941297372;15;0.6723888812986328;0.6585449660894794;0.6459765655754983;0.6589701376545368;0.010786973119135715;1;0.5797873929611548;0.5982635332465417;0.6048682616147314;0.5943063959408094;0.010614665793037005;4
0.2416523297627767;0.06804353762634908;0.082427183787028;0.007074106981011278;0.1;balanced;5;{'modelo__C': 0.1, 'modelo__class_weight': 'balanced', 'preprocessamento__cat__min_frequency': 5};0.565752128666036;0.563;0.5804093567251462;0.5697204951303941;0.007641220438840452;11;0.6089613034623218;0.6639150943396226;0.6513535684987695;0.6414099887669046;0.02351078995354391;2;0.5865620402157921;0.6093073593073594;0.613838422883649;0.6032359408022668;0.011934455855737667;2;0.6703426894713264;0.6577774749136067;0.6459664065099292;0.6580288569649541;0.009953163231031296;6;0.579278872185838;0.5982051120686627;0.6051487471388386;0.5942109104644464;0.010932454508246392;5
0.12808887163798013;0.027985554823069185;0.08339476585388184;0.009426537219904798;0.1;balanced;;{'modelo__C': 0.1, 'modelo__class_weight': 'balanced', 'preprocessamento__cat__min_frequency': None};0.5727969348659003;0.5592039800995025;0.5775673707210488;0.5698560952288171;0.007779885693597028;10;0.6089613034623218;0.6627358490566038;0.6505332239540607;0.6407434588243287;0.023018906206846053;3;0.5903257650542941;0.6065839179708581;0.6118827160493827;0.6029307996915116;0.00917185873286086;3;0.6720687666610534;0.6583001081071093;0.6459524377947716;0.6587737708543114;0.010667205996620709;4;0.5793681977700894;0.5977919778784032;0.6044782423703094;0.5938794726729341;0.010617889234475231;6
0.24002997080485025;0.06680579887647453;0.07924524943033855;0.00411967181342961;1.0;;10;{'modelo__C': 1.0, 'modelo__class_weight': None, 'preprocessamento__cat__min_frequency': 10};0.5805330243337196;0.5901840490797546;0.5946935041171089;0.5884701925101944;0.0059066502170414086;4;0.5101832993890021;0.5672169811320755;0.5332239540607056;0.5368747448605944;0.02342657206949638;12;0.5430894308943089;0.5784726398075767;0.5622837370242214;0.5612819359087023;0.014462493384758586;11;0.6649432372406912;0.6586344778519025;0.6455981403830475;0.6563919518252138;0.00805522130228528;7;0.5722428851858243;0.599542659109708;0.6039950593936462;0.5919268678963929;0.014036864526063108;7
0.2792346477508545;0.08776208098831421;0.0823659896850586;0.0028393031113247828;1.0;balanced;10;{'modelo__C': 1.0, 'modelo__class_weight': 'balanced', 'preprocessamento__cat__min_frequency': 10};0.5595126522961574;0.5675403225806451;0.5804299481097109;0.5691609743288378;0.008616000623050728;12;0.6079429735234216;0.6639150943396226;0.6423297785069729;0.6380626154566724;0.023048876871252486;4;0.582723279648609;0.6119565217391304;0.6098130841121495;0.601497628499963;0.013304277816036986;4;0.6646755483253954;0.6583180104595938;0.6454070229620279;0.6561335272490058;0.008016565872936305;8;0.5719323977714605;0.5987656325275688;0.6037425641243159;0.5914801981411151;0.013970918282837258;8
0.32775131861368817;0.1008849166584343;0.08344554901123047;0.002829914089364491;10.0;;10;{'modelo__C': 10.0, 'modelo__class_weight': None, 'preprocessamento__cat__min_frequency': 10};0.5788876276958003;0.5891566265060241;0.5892531876138434;0.5857658139385559;0.004863771890512582;5;0.5193482688391039;0.5766509433962265;0.5307629204265791;0.5422540442206365;0.024764673392928604;10;0.5475040257648953;0.5828367103694875;0.5584807941303409;0.5629405100882412;0.014765194437386841;10;0.6622695254042341;0.6567067987359784;0.6423466044593218;0.6537743095331782;0.008393660879406224;9;0.5695022752946448;0.59817245809997;0.6008068723034932;0.5894938685660359;0.014177044489725423;9
0.2641904354095459;0.05878039144269178;0.06280660629272461;0.014054598497105076;10.0;balanced;10;{'modelo__C': 10.0, 'modelo__class_weight': 'balanced', 'preprocessamento__cat__min_frequency': 10};0.5506976744186046;0.564;0.5800738007380074;0.5649238250522041;0.01201053118249944;15;0.6028513238289206;0.6650943396226415;0.6447908121410992;0.6375788251975538;0.025917276355483434;5;0.5755955274671852;0.6103896103896104;0.6107226107226107;0.5989025828598021;0.016481137614686024;5;0.662087624034493;0.6565058303919576;0.6420805639297297;0.6535580061187267;0.008429624921204559;10;0.5692937962751758;0.5978385909747284;0.6003299132304154;0.5891541001601065;0.014080137888689517;10
