Modelo;Precisão Teste;Precisão OOT;Δ Precisão;Revocação Teste;Revocação OOT;Δ Revocação;F1-score Teste;F1-score OOT;Δ F1-score;ROC-AUC Teste;ROC-AUC OOT;Δ ROC-AUC;PR-AUC (AP) Teste;PR-AUC (AP) OOT;Δ PR-AUC (AP);KS Teste;KS OOT;Δ KS
Regressão Logística;0.5305492696975931;0.43261231281198004;-0.09793695688561305;0.4780352177942539;0.3978576893649579;-0.08017752842929599;0.5029251170046802;0.41450777202072536;-0.08841734498395487;0.6621748095969822;0.64326052823119;-0.018914281365792207;0.5297564800919135;0.41059120943541205;-0.1191652706565014;0.2415662650602409;0.21735597340003437;-0.024210291660206523
KNN;0.5032433563507009;0.395895477866603;-0.10734787848409794;0.4457831325301205;0.36266258607498086;-0.08312054645513961;0.472773736976607;0.37855105533371364;-0.09422268164289338;0.6301554832719343;0.6089914818735711;-0.021164001398363164;0.5005631010925892;0.3705576455013947;-0.13000545559119447;0.1807228915662651;0.1661276330129286;-0.014595258553336488
Random Forest;0.5370971230802509;0.443017044009158;-0.09408007907109295;0.4602409638554217;0.3806973439720188;-0.07954361988340286;0.4957077260930325;0.4094997354652872;-0.08620799062774531;0.6661958520615577;0.6481329757198664;-0.018062876341691347;0.5409575452903881;0.4158049071211538;-0.12515263816923428;0.2386932344763669;0.22442724524294905;-0.014265989233417847
Gradient Boosting;0.529336462556006;0.4374841812199443;-0.09185228133606166;0.459870250231696;0.37785550333369766;-0.08201474689799831;0.49216425312438;0.40548941411060935;-0.08667483901377065;0.6651052703005649;0.6449647514499003;-0.02014051885066459;0.5410875325942881;0.4110580688907869;-0.1300294637035012;0.2461538461538461;0.2202692703583531;-0.025884575795493026
