Modelo;Período;N;Prevalência;Brier Score;Brier Referência;Brier Skill Score
Regressão Logística;Teste;14027;0.38461538461538464;0.2226031539327288;0.2366863905325444;0.05950167463422085
Regressão Logística;OOT;32072;0.2852644050885508;0.20932902845604354;0.20388862427802598;-0.026683215884565126
KNN;Teste;14027;0.38461538461538464;0.22936106499528522;0.2366863905325444;0.03094950039492006
KNN;OOT;32072;0.2852644050885508;0.21646674145503522;0.20388862427802598;-0.061691117989287614
Random Forest;Teste;14027;0.38461538461538464;0.22162812964637113;0.2366863905325444;0.06362115224408205
Random Forest;OOT;32072;0.2852644050885508;0.20940987072090414;0.20388862427802598;-0.027079717970676542
Gradient Boosting;Teste;14027;0.38461538461538464;0.22121881910518426;0.2366863905325444;0.0653504892805965
Gradient Boosting;OOT;32072;0.2852644050885508;0.20865357856046957;0.20388862427802598;-0.02337037830980715
