Indicador;Valor
Cidades distintas no treino;1774.0
Cidades com 1 registro;832.0
Cidades com menos de 5 registros;1404.0
Registros pertencentes a cidades com menos de 5 ocorrências (%);19.13
Cidades novas no teste;874.0
Registros do teste em cidades novas (%);10.0
