Modelo;Threshold;Precisão;Revocação;F1-score;ROC-AUC;PR-AUC (AP);KS;TN;FP;FN;TP
Regressão Logística;0.5;0.5305492696975931;0.47803521779425395;0.5029251170046802;0.6621748095969822;0.5297564800919135;0.24156626506024093;6350;2282;2816;2579
KNN;0.5;0.5032433563507009;0.4457831325301205;0.472773736976607;0.6301554832719343;0.5005631010925892;0.1807228915662651;6258;2374;2990;2405
Random Forest;0.5;0.5370971230802509;0.4602409638554217;0.49570772609303254;0.6661958520615577;0.5409575452903881;0.23869323447636698;6492;2140;2912;2483
Gradient Boosting;0.5;0.529336462556006;0.45987025023169603;0.49216425312438006;0.6651052703005649;0.5410875325942881;0.24615384615384617;6426;2206;2914;2481
