Modelo;Precisão;Revocação;F1-score;ROC-AUC;PR-AUC (AP);KS;Selecionadas;Cobertura;Lift
Regressão Logística;0.43261231281198;0.3978576893649579;0.4145077720207253;0.64326052823119;0.410591209435412;0.2173559734000343;8414;0.262347218757795;1.5165309975413512
KNN;0.395895477866603;0.3626625860749808;0.3785510553337136;0.6089914818735711;0.3705576455013947;0.1661276330129286;8381;0.261318283861312;1.3878194082563875
Random Forest;0.443017044009158;0.3806973439720188;0.4094997354652872;0.6481329757198664;0.4158049071211538;0.224427245242949;7862;0.2451359441257171;1.553004988027294
Gradient Boosting;0.4374841812199443;0.3778555033336976;0.4054894141106093;0.6449647514499003;0.4110580688907869;0.2202692703583531;7902;0.2463831379396358;1.5336094283622312
