Modelo;OOT;Teste;Δ OOT-Teste
Gradient Boosting;0.20865357856046957;0.22121881910518426;-0.012565240544714695
KNN;0.21646674145503522;0.22936106499528522;-0.012894323540249997
Random Forest;0.20940987072090414;0.22162812964637113;-0.01221825892546699
Regressão Logística;0.20932902845604354;0.2226031539327288;-0.013274125476685272
