Modelo;Threshold;Precisão;Revocação;F1-score;ROC-AUC;PR-AUC (AP);KS;Selecionadas;Cobertura;Lift;TN;FP;FN;TP;Estratégia;Top (%)
Regressão Logística;0.6;0.4783487297921478;0.18111268991146573;0.2627447871243955;0.64326052823119;0.41059120943541205;0.21735597340003437;3464;0.10800698428535795;1.6768609095959957;21116;1807;7492;1657;threshold;
KNN;0.6;0.4376402693170888;0.14919663351185922;0.2225301597652429;0.6089914818735711;0.3705576455013947;0.1661276330129286;3119;0.0972499376403093;1.5341565982662229;21169;1754;7784;1365;threshold;
Random Forest;0.6;0.5053507728894173;0.09290632856049842;0.15695688302095837;0.6481329757198664;0.4158049071211538;0.22442724524294905;1682;0.05244449987528062;1.7715171043949494;22091;832;8299;850;threshold;
Gradient Boosting;0.6;0.5038866026520348;0.12045032243961089;0.19442484121383205;0.6449647514499003;0.4110580688907869;0.2202692703583531;2187;0.068190321776004;1.7663844267412896;21838;1085;8047;1102;threshold;
