Modelo;Threshold;Precisão;Revocação;F1-score;ROC-AUC;PR-AUC (AP);KS;Selecionadas;Cobertura;Lift;TN;FP;FN;TP
Regressão Logística;0.5;0.43261231281198004;0.3978576893649579;0.41450777202072536;0.64326052823119;0.41059120943541205;0.21735597340003437;8414;0.262347218757795;1.5165309975413512;18149;4774;5509;3640
KNN;0.5;0.395895477866603;0.36266258607498086;0.37855105533371364;0.6089914818735711;0.3705576455013947;0.1661276330129286;8381;0.26131828386131206;1.3878194082563877;17860;5063;5831;3318
Random Forest;0.5;0.443017044009158;0.3806973439720188;0.4094997354652872;0.6481329757198664;0.4158049071211538;0.22442724524294905;7862;0.24513594412571713;1.553004988027294;18544;4379;5666;3483
Gradient Boosting;0.5;0.4374841812199443;0.37785550333369766;0.40548941411060935;0.6449647514499003;0.4110580688907869;0.2202692703583531;7902;0.24638313793963582;1.5336094283622312;18478;4445;5692;3457
