mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_modelo__max_depth;param_modelo__max_features;param_modelo__min_samples_leaf;param_preprocessamento__cat__min_frequency;params;split0_test_precision;split1_test_precision;split2_test_precision;mean_test_precision;std_test_precision;rank_test_precision;split0_test_recall;split1_test_recall;split2_test_recall;mean_test_recall;std_test_recall;rank_test_recall;split0_test_f1;split1_test_f1;split2_test_f1;mean_test_f1;std_test_f1;rank_test_f1;split0_test_roc_auc;split1_test_roc_auc;split2_test_roc_auc;mean_test_roc_auc;std_test_roc_auc;rank_test_roc_auc;split0_test_pr_auc;split1_test_pr_auc;split2_test_pr_auc;mean_test_pr_auc;std_test_pr_auc;rank_test_pr_auc
8.325631221135458;0.6797977054917178;3.5733559131622314;0.8926024624778841;;sqrt;5;10;{'modelo__max_depth': None, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 5, 'preprocessamento__cat__min_frequency': 10};0.5851472471190781;0.5833333333333334;0.6021611001964636;0.590213893549625;0.008480345150296149;9;0.4653767820773931;0.5283018867924528;0.5028712059064807;0.49884995825877554;0.02584595423315403;4;0.5184344866704481;0.5544554455445545;0.5480554313813143;0.5403151211987723;0.01569100954568121;2;0.6772370691161659;0.6624967660266479;0.648210290117515;0.6626480417534429;0.011850615680722203;1;0.5799264217689901;0.613938316834499;0.6272317994008817;0.6070321793347903;0.019920186404710657;1
5.63162628809611;1.661035565221181;2.198033889134725;0.7845733841824323;15;sqrt;1;10;{'modelo__max_depth': 15, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 1, 'preprocessamento__cat__min_frequency': 10};0.5997248968363136;0.6002886002886003;0.6140724946695096;0.6046953305981412;0.0066346486926112695;4;0.4439918533604888;0.49056603773584906;0.4725184577522559;0.4690254496161979;0.01917358411871984;7;0.5102399063779989;0.5399091499026606;0.5340751043115438;0.5280747201974011;0.012834055216996237;6;0.6749446352599521;0.6618522813372018;0.643886337834646;0.6602277514772666;0.012731425232839128;3;0.5824824049345191;0.6064669917174358;0.6207580583242444;0.6032358183253997;0.015792124022639645;2
3.7320361932118735;0.4962989102394687;0.8729298909505209;0.44692347368644986;15;sqrt;5;10;{'modelo__max_depth': 15, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 5, 'preprocessamento__cat__min_frequency': 10};0.589041095890411;0.5958041958041959;0.6059322033898306;0.5969258316948124;0.006941226041681519;6;0.4378818737270876;0.5023584905660378;0.4692370795734208;0.4698258146221821;0.026325760343149675;6;0.5023364485981309;0.54510556621881;0.5288950531668978;0.5254456893279462;0.017629954408770163;7;0.6746586767747695;0.6625498955888602;0.6425723261974363;0.6599269661870221;0.013229847374482531;4;0.5779105237151486;0.6122410729637133;0.6188996800919586;0.6030170922569402;0.0179599387560173;3
8.642926534016928;0.848142442606614;4.040229956309001;0.5632084502044534;;sqrt;5;5;{'modelo__max_depth': None, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 5, 'preprocessamento__cat__min_frequency': 5};0.5942028985507246;0.5846560846560847;0.6111675126903553;0.5966754986323882;0.010963553787495486;7;0.4592668024439919;0.5212264150943396;0.4938474159146842;0.4914468778176719;0.025351795956259054;5;0.5180930499712809;0.5511221945137157;0.5462794918330308;0.5384982454393424;0.014563468997935168;4;0.6762532924942252;0.6603531036904257;0.6487614194246414;0.6617892718697641;0.011269359801338457;2;0.5776119155759687;0.6051524233026948;0.625685438701933;0.6028165925268655;0.019695312225597252;4
6.3224302132924395;0.9138910393105296;2.531297206878662;0.9667442344276131;15;sqrt;1;5;{'modelo__max_depth': 15, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 1, 'preprocessamento__cat__min_frequency': 5};0.5997248968363136;0.6032448377581121;0.6186252771618626;0.607198337252096;0.008206855378251296;3;0.4439918533604888;0.482311320754717;0.45775225594749797;0.46135181002090125;0.015849563348135604;8;0.5102399063779989;0.5360419397116645;0.5261669024045261;0.5241495828313965;0.010629782523112332;8;0.6735899069363996;0.6642280967604827;0.6414545115140309;0.6597575050703044;0.013494703955829438;5;0.5816923247790745;0.607272773547286;0.6171270023225054;0.6020307002162886;0.014933487932772587;5
4.249679247538249;0.8904198875433056;1.2917896906534831;0.2554317641383026;15;sqrt;5;5;{'modelo__max_depth': 15, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 5, 'preprocessamento__cat__min_frequency': 5};0.5903954802259888;0.5850144092219021;0.6131549609810479;0.5961882834763129;0.012196723342767559;8;0.4256619144602851;0.47877358490566035;0.45118949958982774;0.4518749996519244;0.02168816600707841;9;0.49467455621301776;0.5265888456549935;0.5198487712665406;0.5137040577115174;0.013734351001570647;9;0.6741626182358903;0.6600620460887403;0.6419707190332633;0.6587317944526313;0.013175906562853076;6;0.5762526825818952;0.6068532722866973;0.6153770045033619;0.5994943197906514;0.01679868601672828;6
6.254119475682576;1.2440854606000162;2.9359724521636963;1.2329984295192848;15;sqrt;1;;{'modelo__max_depth': 15, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 1, 'preprocessamento__cat__min_frequency': None};0.5950413223140496;0.6390423572744015;0.6299862448418156;0.6213566414767556;0.018971475255836406;1;0.3665987780040733;0.4091981132075472;0.3757178014766202;0.3838382308960802;0.01831450919192769;11;0.45368620037807184;0.49892163910855497;0.47070914696813976;0.4744389954849222;0.018654669777358364;11;0.6720786957751221;0.6610368580562895;0.6366111770039391;0.6565755769451169;0.01481921036606954;7;0.5811235081687453;0.5980439981557713;0.6113455392512392;0.5968376818585853;0.012367543273812863;7
7.5903676350911455;0.6607008986491204;5.71588659286499;0.22604539604645213;;sqrt;5;;{'modelo__max_depth': None, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 5, 'preprocessamento__cat__min_frequency': None};0.5830721003134797;0.6024844720496895;0.618663594470046;0.6014067222777384;0.014550137971910095;5;0.3788187372708758;0.45754716981132076;0.44052502050861364;0.42563030919693673;0.0338223874710474;10;0.45925925925925926;0.5201072386058981;0.5146142788691902;0.4979935922447825;0.027480957838017232;10;0.6672062809192612;0.6576827656940106;0.6393563470032027;0.6547484645388247;0.011557459271950735;8;0.5705937305298523;0.601364109875475;0.6116523479233669;0.594536729442898;0.017443477448511713;8
3.939617315928141;0.09505659883401521;2.985548416773478;0.1808383365605441;15;sqrt;5;;{'modelo__max_depth': 15, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 5, 'preprocessamento__cat__min_frequency': None};0.5811051693404634;0.6395833333333333;0.6200564971751412;0.6135816666163126;0.02430866085806183;2;0.3319755600814664;0.36202830188679247;0.3601312551271534;0.3513783723651374;0.013741701495535299;12;0.4225534672715489;0.4623493975903614;0.455630513751946;0.44684445953795215;0.017393965983895587;12;0.6669298543835848;0.6587488219097074;0.6331640790680073;0.6529475851204332;0.014382226459057875;9;0.5723093971694222;0.6015526664851237;0.6042416308685562;0.5927012315077006;0.014460931577269106;9
46.062162001927696;12.514519610190865;5.806221087773641;1.637666703332152;;sqrt;1;;{'modelo__max_depth': None, 'modelo__max_features': 'sqrt', 'modelo__min_samples_leaf': 1, 'preprocessamento__cat__min_frequency': None};0.5625717566016073;0.5668789808917197;0.5857544517338332;0.5717350630757201;0.010067952093375533;10;0.4989816700610998;0.5247641509433962;0.5127153404429861;0.5121537204824941;0.010533142704388303;3;0.5288720992984349;0.545009185548071;0.5468066491688539;0.5402293113384533;0.0080642179971552;3;0.6470593141444598;0.6422775026333782;0.6270216540482606;0.6387861569420329;0.008544747961372159;10;0.5692660465423471;0.5902052443037711;0.6088844723104121;0.5894519210521768;0.01618292386078533;10
