Modelo;Variável;Importância Média;Desvio Padrão;Ranking
Regressão Logística;Problema;0.0673570244823499;0.01116556068011287;1
Regressão Logística;Procurou Empresa;0.02436784843365105;0.009899594373901087;2
Regressão Logística;Grupo Problema;0.0054282958307377725;0.0021865987689731006;3
Regressão Logística;Como Comprou Contratou;0.004352029803173574;0.003479653615619849;4
Regressão Logística;UF;0.001101215454789728;0.0031893548569340564;5
Regressão Logística;Cidade;0.000946510772985576;0.0028637357303875092;6
Regressão Logística;Área;0.00012068022947384627;0.00017059140913612723;7
Regressão Logística;Sexo;-8.240277607148849e-05;4.212078319321897e-05;8
Regressão Logística;Região;-0.0008256926341187243;0.001730749720041575;9
Regressão Logística;Faixa Etária;-0.0016954767979538432;0.006221916276726995;10
Regressão Logística;Assunto;-0.010433841242448273;0.004179001170562006;11
KNN;Problema;0.032753965865768495;0.008018459998842254;1
KNN;Grupo Problema;0.023850749453640387;0.0044921898191952895;2
KNN;Procurou Empresa;0.012373843293420084;0.0065918621226184314;3
KNN;Sexo;0.004485636775996127;0.003754455935238346;4
KNN;UF;0.0030105213640960415;0.006968856344065799;5
KNN;Faixa Etária;-0.00010324205166115653;0.00649590755892289;6
KNN;Área;-0.0006595327262696182;0.00034028381085316384;7
KNN;Como Comprou Contratou;-0.0016989695569267326;0.003670614445468344;8
KNN;Região;-0.004399826606083568;0.002906466678401789;9
KNN;Assunto;-0.011801987883542264;0.005705918518886952;10
Random Forest;Problema;0.044561262762946786;0.010348761559151482;1
Random Forest;Procurou Empresa;0.015710117496286667;0.008779523360205205;2
Random Forest;Grupo Problema;0.007051504899159666;0.003461294100265574;3
Random Forest;Cidade;0.0006603564041994025;0.0007612911108019141;4
Random Forest;Área;-9.81995371391986e-05;0.0002638386697941526;5
Random Forest;Sexo;-0.00014179902527532428;0.0015043541816558861;6
Random Forest;Como Comprou Contratou;-0.0020680096409604887;0.0034622497105821575;7
Random Forest;UF;-0.0024077607870138353;0.001393602848908916;8
Random Forest;Região;-0.004700690392327034;0.0028733187918757873;9
Random Forest;Faixa Etária;-0.008363512399541495;0.00340568465050843;10
Random Forest;Assunto;-0.011015775480015023;0.005061857558302694;11
Gradient Boosting;Problema;0.06718248569681731;0.011572390593183815;1
Gradient Boosting;Procurou Empresa;0.019350510157377664;0.01142442892515977;2
Gradient Boosting;Como Comprou Contratou;0.0041372171127322275;0.0016070560265860044;3
Gradient Boosting;UF;0.002509007238085037;0.0024387860935094464;4
Gradient Boosting;Sexo;0.0004640377530210849;0.0006437149046060802;5
Gradient Boosting;Grupo Problema;0.00029290810087890807;0.0028004546217873854;6
Gradient Boosting;Área;4.601157360273334e-06;9.202314720546667e-06;7
Gradient Boosting;Região;-0.000836559375524093;0.002062295379764321;8
Gradient Boosting;Faixa Etária;-0.003937687270909584;0.005325398104639987;9
Gradient Boosting;Cidade;-0.008619434301190675;0.0010145173919234275;10
Gradient Boosting;Assunto;-0.008957092316403315;0.005063002252519237;11
