mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_modelo__learning_rate;param_modelo__max_depth;param_modelo__n_estimators;param_preprocessamento__cat__min_frequency;params;split0_test_precision;split1_test_precision;split2_test_precision;mean_test_precision;std_test_precision;rank_test_precision;split0_test_recall;split1_test_recall;split2_test_recall;mean_test_recall;std_test_recall;rank_test_recall;split0_test_f1;split1_test_f1;split2_test_f1;mean_test_f1;std_test_f1;rank_test_f1;split0_test_roc_auc;split1_test_roc_auc;split2_test_roc_auc;mean_test_roc_auc;std_test_roc_auc;rank_test_roc_auc;split0_test_pr_auc;split1_test_pr_auc;split2_test_pr_auc;mean_test_pr_auc;std_test_pr_auc;rank_test_pr_auc
43.75739645957947;15.168005851024223;0.29609211285909015;0.009289413641608417;0.1;2;200;10;{'modelo__learning_rate': 0.1, 'modelo__max_depth': 2, 'modelo__n_estimators': 200, 'preprocessamento__cat__min_frequency': 10};0.5881627620221949;0.5937904269081501;0.5959692898272553;0.5926408262525334;0.003289037888029575;2;0.48574338085539714;0.5412735849056604;0.5094339622641509;0.5121503093417362;0.022751333976280694;3;0.532069157836029;0.5663170882171499;0.5493144626271561;0.5492335695601116;0.013981776034389595;4;0.6752051752131185;0.6648356217544769;0.6506814828172105;0.663574093261602;0.010051416576318337;1;0.5861441752288782;0.6136264377412618;0.6128353337698926;0.6042019822466775;0.012772881614118815;1
62.16231973965963;25.957303252802273;0.43389002482096356;0.11741605977649776;0.05;3;200;10;{'modelo__learning_rate': 0.05, 'modelo__max_depth': 3, 'modelo__n_estimators': 200, 'preprocessamento__cat__min_frequency': 10};0.5789473684210527;0.5949868073878628;0.5986394557823129;0.5908578771970762;0.008552996533424954;8;0.4816700610997963;0.5318396226415094;0.505332239540607;0.506280641093971;0.020492613717333238;5;0.5258476931628683;0.5616438356164384;0.5480427046263345;0.5451780778018803;0.014753429404076588;5;0.6751046925787418;0.6648223393639237;0.6479217091611913;0.662616247034619;0.011206509399861309;2;0.589654024631984;0.6122121198929034;0.6106688254856186;0.6041783233368353;0.010289537697995257;2
32.43635026613871;14.982142995140647;0.363339106241862;0.08403250316033391;0.1;3;100;10;{'modelo__learning_rate': 0.1, 'modelo__max_depth': 3, 'modelo__n_estimators': 100, 'preprocessamento__cat__min_frequency': 10};0.5859085290482077;0.5971128608923885;0.6089060987415296;0.5973091628940419;0.00938974454060348;1;0.48268839103869654;0.5365566037735849;0.5159967186218212;0.5117472378113676;0.022195940337241978;4;0.5293132328308208;0.5652173913043478;0.5586145648312612;0.5510483963221433;0.015603681795318076;2;0.671689077339061;0.6641305000646796;0.6493557247604367;0.6617251007213925;0.009274844791182988;3;0.5861161766546578;0.609927105399372;0.6163164090419304;0.6041198970319868;0.012995031379415498;3
42.65002282460531;7.1889645834237035;0.1892732779184977;0.09121891294052889;0.1;3;200;10;{'modelo__learning_rate': 0.1, 'modelo__max_depth': 3, 'modelo__n_estimators': 200, 'preprocessamento__cat__min_frequency': 10};0.5765661252900232;0.5946291560102301;0.5951717734447539;0.5887890182483357;0.00864572891173585;11;0.5061099796334012;0.5483490566037735;0.5258408531583265;0.5267666297985004;0.017256451984072087;1;0.5390455531453362;0.5705521472392638;0.5583623693379791;0.5559866899075264;0.012971745125903099;1;0.6716557155157896;0.6621335215197827;0.651190705978864;0.6616599810048122;0.008361512395139346;4;0.5800339622738198;0.6121110144497315;0.6119340215766964;0.6013596661000825;0.015079722906017116;4
96.94503585497539;31.166717349301223;0.5365597407023112;0.12876293896554442;0.05;3;200;5;{'modelo__learning_rate': 0.05, 'modelo__max_depth': 3, 'modelo__n_estimators': 200, 'preprocessamento__cat__min_frequency': 5};0.5758323057953144;0.5978407557354926;0.6027263875365141;0.592133149689107;0.011697734346477383;4;0.4755600814663951;0.5224056603773585;0.5077932731747334;0.501919671672829;0.019570410689409054;7;0.520914668153932;0.5575833857772183;0.5512021371326803;0.5432333970212769;0.01599529779354745;7;0.6692056073281628;0.6624066767689835;0.6479725044890371;0.6598615961953945;0.008853219391414148;6;0.5780789692726718;0.6124529469008922;0.6101262149763632;0.6002193770499757;0.01568442247945675;5
42.25385435422262;14.370362970508358;0.3041069507598877;0.04960881770421182;0.05;2;200;10;{'modelo__learning_rate': 0.05, 'modelo__max_depth': 2, 'modelo__n_estimators': 200, 'preprocessamento__cat__min_frequency': 10};0.5726600985221675;0.5848806366047745;0.6022044088176353;0.5865817146481924;0.012121243544319748;16;0.47352342158859473;0.5200471698113207;0.49302707136997537;0.49553255425663023;0.01907568907526698;9;0.5183946488294314;0.550561797752809;0.5421741091565179;0.5370435185795861;0.013624086200935059;9;0.6717967089355672;0.6606857409494946;0.6445914404793047;0.6590246301214555;0.011168441396231887;9;0.5834776620825983;0.6078497956484018;0.6075409437317155;0.5996228004875719;0.011417033122004575;6
67.92688647905986;27.64028931258215;0.5065368016560873;0.046639710407560694;0.1;2;200;5;{'modelo__learning_rate': 0.1, 'modelo__max_depth': 2, 'modelo__n_estimators': 200, 'preprocessamento__cat__min_frequency': 5};0.5851197982345523;0.582798459563543;0.6013579049466538;0.5897587209149163;0.008256430058161318;9;0.4725050916496945;0.535377358490566;0.5086136177194421;0.5054986892865676;0.025761826653453557;6;0.5228169014084507;0.5580823601720959;0.5511111111111111;0.5440034575638859;0.015249091768869969;6;0.6722760865628108;0.6629974544009758;0.6481207633521868;0.6611314347719911;0.009949252293321487;5;0.5793055327486679;0.6114803578918093;0.6073943794996793;0.5993934233800523;0.014301895384157546;7
32.76070261001587;13.319611637548372;0.4511602719624837;0.25479160620194385;0.05;3;100;10;{'modelo__learning_rate': 0.05, 'modelo__max_depth': 3, 'modelo__n_estimators': 100, 'preprocessamento__cat__min_frequency': 10};0.5758754863813229;0.5834502103786816;0.6096537250786989;0.5896598072795678;0.014472080537546493;10;0.45213849287169044;0.49056603773584906;0.47662018047579985;0.47310823702777977;0.015883311182040498;13;0.50656018254421;0.5329916720051249;0.5349907918968693;0.5248475488154013;0.012956850027120107;14;0.6679422268540436;0.6593881091419806;0.6429612279262553;0.6567638546407598;0.010365893131577323;13;0.5838512520428235;0.6052086834609964;0.6086809689710594;0.5992469681582931;0.010978319473609369;8
23.00761079788208;11.534691675225277;0.3067951202392578;0.11876824762682835;0.1;2;100;10;{'modelo__learning_rate': 0.1, 'modelo__max_depth': 2, 'modelo__n_estimators': 100, 'preprocessamento__cat__min_frequency': 10};0.5822454308093995;0.5852348993288591;0.6077235772357723;0.5917346357913437;0.011371570307635227;6;0.45417515274949083;0.5141509433962265;0.49056603773584906;0.48629737796052214;0.024670359518166547;12;0.5102974828375286;0.5473948524795983;0.542896050839764;0.5335294620522969;0.0165298406470483;12;0.6698617231858317;0.6619273557185889;0.6461086334278974;0.6592992374441059;0.009873620494719734;8;0.5811465189424038;0.607244139595372;0.6092755135509003;0.599222057362892;0.012808211869206151;9
55.38245733579;22.415502104535747;0.3250691890716553;0.032027016663258946;0.1;3;100;5;{'modelo__learning_rate': 0.1, 'modelo__max_depth': 3, 'modelo__n_estimators': 100, 'preprocessamento__cat__min_frequency': 5};0.58625;0.5870712401055409;0.6033464566929134;0.5922225655994847;0.0078729208312029;3;0.4775967413441955;0.5247641509433962;0.5028712059064807;0.5017440327313575;0.019272502373411566;8;0.5263748597081931;0.5541718555417185;0.5485458612975391;0.5430308588491503;0.011999435635244391;8;0.6670497980815362;0.6602312521944819;0.6476394776208485;0.6583068426322889;0.00804021762636405;10;0.5770944283896717;0.609682256386376;0.6093935428751436;0.5987234092170638;0.01529445319054506;10
