Modelo;Precisão Teste;Precisão OOT;Δ Precisão;Revocação Teste;Revocação OOT;Δ Revocação;Lift Teste;Lift OOT;Δ Lift;Selecionadas OOT
Regressão Logística;0.5830132309005548;0.4783487297921478;-0.10466450110840697;0.2531974050046339;0.18111268991146573;-0.07208471509316816;1.5158344003414423;1.6768609095959957;0.1610265092545533;3464
KNN;0.5595516113965436;0.4376402693170888;-0.12191134207945481;0.2220574606116774;0.14919663351185922;-0.07286082709981817;1.4548341896310133;1.5341565982662229;0.07932240863520956;3119
Random Forest;0.6328233657858137;0.5053507728894173;-0.12747259289639634;0.1686746987951807;0.09290632856049842;-0.07576837023468229;1.6453407510431155;1.7715171043949494;0.12617635335183386;1682
Gradient Boosting;0.6212389380530974;0.5038866026520348;-0.1173523354010626;0.1951807228915662;0.12045032243961089;-0.07473040045195532;1.6152212389380531;1.7663844267412896;0.15116318780323645;2187
