Modelo;Precisão @0,50;Revocação @0,50;F1 @0,50;ROC-AUC;PR-AUC (AP);KS;Precisão Operacional;Revocação Operacional;Lift Operacional;Cobertura Operacional;Brier Score;Brier Skill Score;PSI Score;Top 3 variáveis por Permutation Importance
Gradient Boosting;0.4374841812199443;0.3778555033336976;0.4054894141106093;0.6449647514499003;0.4110580688907869;0.2202692703583531;0.5038866026520348;0.1204503224396108;1.7663844267412896;0.068190321776004;0.2086535785604695;-0.0233703783098071;0.1648317623030342;1. Problema | 2. Procurou Empresa | 3. Como Comprou Contratou
KNN;0.395895477866603;0.3626625860749808;0.3785510553337136;0.6089914818735711;0.3705576455013947;0.1661276330129286;0.4376402693170888;0.1491966335118592;1.5341565982662229;0.0972499376403093;0.2164667414550352;-0.0616911179892876;0.0886569395660863;1. Problema | 2. Grupo Problema | 3. Procurou Empresa
Random Forest;0.443017044009158;0.3806973439720188;0.4094997354652872;0.6481329757198664;0.4158049071211538;0.224427245242949;0.5053507728894173;0.0929063285604984;1.7715171043949494;0.0524444998752806;0.2094098707209041;-0.0270797179706765;0.1502349314105567;1. Problema | 2. Procurou Empresa | 3. Grupo Problema
Regressão Logística;0.43261231281198;0.3978576893649579;0.4145077720207253;0.64326052823119;0.410591209435412;0.2173559734000343;0.4783487297921478;0.1811126899114657;1.6768609095959957;0.1080069842853579;0.2093290284560435;-0.0266832158845651;0.138611492633729;1. Problema | 2. Procurou Empresa | 3. Grupo Problema
