Feature transformada;Coeficiente;Exp(Coeficiente);Magnitude
cat__Problema_SAC - Dificuldade para cancelar o serviço;0.8075389493686292;2.242382573256537;0.8075389493686292
cat__Problema_Não entrega do contrato ou documentação relacionada ao serviço;0.7274372431207324;2.0697694890315192;0.7274372431207324
cat__Assunto_Crédito Rural;-0.6384240171874136;0.5281240830085311;0.6384240171874136
cat__Cidade_Boqueirão do Piauí;-0.6377833312362887;0.528462553103905;0.6377833312362887
cat__Problema_Dificuldade para rescindir o contrato / cancelar o serviço;0.6000770458914012;1.8222591925659746;0.6000770458914012
cat__Problema_Clonagem, fraude, furto e roubo;-0.5740607702965391;0.5632336262074791;0.5740607702965391
cat__Problema_Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);-0.5681384461352141;0.5665791752549615;0.5681384461352141
cat__Problema_Renegociação / parcelamento de dívida;-0.5651075194296319;0.568299040283861;0.5651075194296319
cat__Assunto_Demais Seguros;0.5413363060189503;1.7183015053146042;0.5413363060189503
cat__Cidade_Araguaína;-0.5283810524649051;0.5895586620237949;0.5283810524649051
cat__Problema_Alteração / rescisão de contrato sem solicitação / aviso prévio;-0.523418541000915;0.5924916250550621;0.523418541000915
cat__Problema_Negativação indevida referente a cobrança não reconhecida;-0.5229212914891289;0.5927863144873743;0.5229212914891289
cat__Problema_Dificuldade para contratar / recusa injustificada;-0.4933343576631531;0.6105870804623995;0.4933343576631531
cat__Problema_Negativação indevida referente à pagamento já efetuado;0.4765252341607081;1.6104686670152508;0.4765252341607081
cat__Assunto_Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);-0.4763273213837194;0.6210601627020309;0.4763273213837194
cat__Cidade_São José dos Campos;-0.46590138484509447;0.6275691688266998;0.46590138484509447
cat__Problema_Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;0.46549006825037303;1.5927945757009998;0.46549006825037303
cat__Problema_Cláusulas irregulares / abusivas / de interpretação dúbia;-0.462110791453771;0.6299525427175013;0.462110791453771
cat__Cidade_Piracicaba;0.4521529951025296;1.5716923914224619;0.4521529951025296
cat__Problema_Dificuldade para alterar ou cancelar o contrato /serviço;0.4302869000498867;1.53769862608162;0.4302869000498867
cat__Problema_Negativação indevida referente a tarifa, taxas não previstas contrato / serviço;-0.41719887981991854;0.6588898670145631;0.41719887981991854
cat__Problema_Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor;0.3788056287065356;1.460539121273757;0.3788056287065356
cat__Cidade_Água Branca;-0.370194718513482;0.6905998449691316;0.370194718513482
cat__Faixa Etária_entre 21 a 30 anos;0.3551145900426809;1.4263440897473845;0.3551145900426809
cat__Cidade_Taubaté;0.35222446381021255;1.4222277265469863;0.35222446381021255
cat__Cidade_João Pessoa;0.35191075153984436;1.4217816262351402;0.35191075153984436
cat__Problema_Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;-0.34362393398950297;0.7091955822598581;0.34362393398950297
cat__Cidade_Cajazeiras;-0.33759003884251754;0.7134877302049175;0.33759003884251754
cat__Problema_Dificuldade de acesso a dados pessoais ou financeiros;0.3350719826291699;1.3980410162686183;0.3350719826291699
cat__Como Comprou Contratou_Catálogo;0.3321959498543717;1.3940259809394684;0.3321959498543717
cat__Problema_Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);-0.3291633663306697;0.7195254609106316;0.3291633663306697
cat__Problema_Dificuldade de pagamento, saque, depósito, transferência;0.324983906724965;1.3840083725741352;0.324983906724965
cat__Problema_Venda casada (imposição de seguro, empréstimo, título de capitalização etc);-0.32194709552677775;0.7247365311200981;0.32194709552677775
cat__Problema_Má qualidade no atendimento (descortesia / despreparo/ constrangimento);-0.30555232579042835;0.7367163545553473;0.30555232579042835
