Modelo;Brier Score;Brier Skill Score;PSI Score
Gradient Boosting;0.2086535785604695;-0.0233703783098071;0.1648317623030342
KNN;0.2164667414550352;-0.0616911179892876;0.0886569395660863
Random Forest;0.2094098707209041;-0.0270797179706765;0.1502349314105567
Regressão Logística;0.2093290284560435;-0.0266832158845651;0.138611492633729
