Modelo;Estratégia;Top (%);Threshold;Selecionadas;Cobertura;Precisão;Revocação;F1-score;Lift;ROC-AUC;PR-AUC (AP);KS
Regressão Logística;threshold;;0.6;3464;0.1080069842853579;0.4783487297921478;0.1811126899114657;0.2627447871243955;1.6768609095959957;0.64326052823119;0.410591209435412;0.2173559734000343
KNN;threshold;;0.6;3119;0.0972499376403093;0.4376402693170888;0.1491966335118592;0.2225301597652429;1.5341565982662229;0.6089914818735711;0.3705576455013947;0.1661276330129286
Random Forest;threshold;;0.6;1682;0.0524444998752806;0.5053507728894173;0.0929063285604984;0.1569568830209583;1.7715171043949494;0.6481329757198664;0.4158049071211538;0.224427245242949
Gradient Boosting;threshold;;0.6;2187;0.068190321776004;0.5038866026520348;0.1204503224396108;0.194424841213832;1.7663844267412896;0.6449647514499003;0.4110580688907869;0.2202692703583531
